[2023-02-20 13:47:10.106][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 난우중학교 발견 
[2023-02-20 13:47:10.106][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 거창여자중학교 발견 
[2023-02-20 13:47:10.106][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 부여여자중학교 발견 
[2023-02-20 13:47:10.106][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 행신중학교 발견 
[2023-02-20 13:47:10.107][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 송도초등학교 발견 
[2023-02-20 13:47:10.108][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 화정중학교 발견 
[2023-02-20 13:47:10.108][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 봉의중학교 발견 
[2023-02-20 13:47:10.109][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 김천대학교 발견 
[2023-02-20 13:47:10.109][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 성원중학교 발견 
[2023-02-20 13:47:10.110][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 화정중학교 발견 
[2023-02-20 13:47:10.110][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 송화초등학교 발견 
[2023-02-20 13:47:10.110][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 김포여자중학교 발견 
[2023-02-20 13:47:10.110][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 태종대중학교 발견 
[2023-02-20 13:47:10.111][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 대구여자상업고등학교 발견 
[2023-02-20 13:47:10.111][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 천안용곡초등학교 발견 
[2023-02-20 13:47:10.111][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 목포하당중학교 발견 
[2023-02-20 13:47:10.111][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.111][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 발산중학교 발견 
[2023-02-20 13:47:10.112][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 문산중학교 발견 
[2023-02-20 13:47:10.112][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 문시중학교 발견 
[2023-02-20 13:47:10.112][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 안산디자인문화고등학교 발견 
